Epoch,Time,LR,Loss,Loss_data,Loss_T_bound,Loss_NSE,Loss_EE,Loss_conti,MAE_u,MAE_v,MAE_w,MAE_T,MAE_p,COR_u,COR_v,COR_w,COR_T,COR_p
1,34.87,0.001000,0.5228429,0.0145862,0.2498572,4.8397503,0.8822254,15.2096176,0.0816950,0.0991065,0.1026740,0.1246416,0.4874287,0.0030927,0.0077503,0.0053634,-0.0081029,-0.0088845
2,10.89,0.001000,0.0143283,0.0134244,0.2499867,0.0063256,0.0000894,0.0204639,0.0780668,0.0891524,0.1015448,0.1237833,0.4880487,0.0004041,0.0017542,-0.0015962,-0.0015568,-0.0074955
3,10.78,0.001000,0.0134516,0.0132000,0.2499963,0.0000151,0.0000000,0.0000685,0.0768295,0.0875348,0.1010864,0.1236616,0.4880817,0.0112056,-0.0023054,-0.0169446,0.0170607,0.0044199
4,10.76,0.001000,0.0131781,0.0129265,0.2499969,0.0000153,0.0000000,0.0000686,0.0752372,0.0856855,0.1004316,0.1236533,0.4880820,0.0111598,-0.0005269,-0.0159082,0.0185078,0.0049813
5,10.78,0.001000,0.0128238,0.0125724,0.2499969,0.0000136,0.0000000,0.0000605,0.0732033,0.0831783,0.0995736,0.1236531,0.4880819,0.0119344,-0.0002548,-0.0153243,0.0202387,0.0079657
6,10.77,0.001000,0.0123921,0.0121409,0.2499969,0.0000115,0.0000000,0.0000505,0.0707845,0.0799061,0.0985191,0.1236532,0.4880818,0.0129608,-0.0000574,-0.0146085,0.0212059,0.0083526
7,10.78,0.001000,0.0119032,0.0116523,0.2499969,0.0000091,0.0000000,0.0000392,0.0681414,0.0758387,0.0973045,0.1236534,0.4880817,0.0146947,0.0001900,-0.0127872,0.0164551,0.0071510
8,10.77,0.001000,0.0113995,0.0111488,0.2499968,0.0000066,0.0000000,0.0000278,0.0655190,0.0711301,0.0960205,0.1236540,0.4880814,0.0164093,0.0003799,-0.0086120,0.0105282,0.0043101
9,10.80,0.001000,0.0109414,0.0106909,0.2499968,0.0000046,0.0000000,0.0000182,0.0633154,0.0661307,0.0948394,0.1236548,0.4880809,0.0198397,0.0020701,-0.0060843,0.0089406,0.0014591
10,10.78,0.001000,0.0105878,0.0103375,0.2499968,0.0000030,0.0000000,0.0000111,0.0617766,0.0614257,0.0939194,0.1236550,0.4880805,0.0298039,0.0051544,0.0021963,0.0059962,0.0142195
11,10.75,0.001000,0.0103668,0.0101165,0.2499968,0.0000022,0.0000000,0.0000072,0.0609570,0.0577460,0.0933367,0.1236543,0.4880799,0.0369514,0.0126000,0.0039336,0.0105666,0.0051210
12,10.77,0.001000,0.0102613,0.0100111,0.2499968,0.0000024,0.0000000,0.0000070,0.0606488,0.0554556,0.0930441,0.1236546,0.4880795,0.0295128,0.0150304,-0.0027919,0.0118670,0.0040644
13,10.74,0.001000,0.0102258,0.0099755,0.2499968,0.0000033,0.0000000,0.0000092,0.0605709,0.0543458,0.0929331,0.1236545,0.4880790,0.0269412,0.0126289,-0.0018844,0.0068357,0.0070791
14,10.70,0.001000,0.0102182,0.0099676,0.2499967,0.0000054,0.0000000,0.0000133,0.0605567,0.0539548,0.0929123,0.1236563,0.4880785,0.0289922,0.0110945,0.0063890,0.0184586,0.0097910
15,10.69,0.001000,0.0102175,0.0099664,0.2499958,0.0000108,0.0000000,0.0000245,0.0605554,0.0538550,0.0929196,0.1236679,0.4880795,0.0109289,0.0138844,-0.0054868,0.0144653,-0.0062868
16,10.70,0.001000,0.0102271,0.0099663,0.2499976,0.0001067,0.0000001,0.0001160,0.0605570,0.0538384,0.0929221,0.1236442,0.4880790,-0.0167342,-0.0071580,0.0109791,-0.0042267,-0.0031783
17,10.70,0.001000,0.0103234,0.0099665,0.2499912,0.0010551,0.0000156,0.0012964,0.0605591,0.0538413,0.0929229,0.1237573,0.4880799,0.0068306,0.0181591,0.0003431,0.0172951,0.0088112
18,10.70,0.001000,0.0105467,0.0099667,0.2499930,0.0029795,0.0027461,0.0045574,0.0605693,0.0538570,0.0929270,0.1236784,0.4880778,-0.0056008,-0.0030467,-0.0021368,0.0063220,-0.0173255
19,10.70,0.001000,0.0109271,0.0099665,0.2500054,0.0065143,0.0047602,0.0115356,0.0605778,0.0538667,0.0929336,0.1235380,0.4880492,0.0010616,-0.0134475,0.0006210,0.0022310,0.0154364
20,10.70,0.001000,0.0106539,0.0099672,0.2500010,0.0036758,0.0062555,0.0065591,0.0605809,0.0538596,0.0929331,0.1236800,0.4880872,-0.0179966,-0.0041072,-0.0005344,0.0012800,-0.0024420
21,10.70,0.001000,0.0108774,0.0099664,0.2499880,0.0060392,0.0045455,0.0116650,0.0605773,0.0538678,0.0929394,0.1237257,0.4880924,0.0084630,-0.0081244,0.0012793,-0.0001477,-0.0163655
22,10.70,0.001000,0.0107735,0.0099664,0.2499690,0.0049973,0.0046765,0.0106955,0.0605865,0.0538670,0.0929381,0.1240098,0.4880733,-0.0023411,-0.0059046,-0.0169543,-0.0170730,-0.0121664
23,10.68,0.001000,0.0105919,0.0099662,0.2499996,0.0035705,0.0011174,0.0074639,0.0605990,0.0538577,0.0929399,0.1236404,0.4880681,-0.0130636,0.0078495,-0.0206754,0.0051831,-0.0015778
24,10.69,0.001000,0.0106595,0.0099671,0.2500007,0.0040896,0.0025352,0.0080918,0.0606081,0.0538599,0.0929330,0.1235784,0.4880760,0.0128211,0.0131118,0.0060288,0.0293968,0.0039554
25,10.69,0.001000,0.0106931,0.0099664,0.2500205,0.0046254,0.0003884,0.0102905,0.0606261,0.0538678,0.0929474,0.1233016,0.4880420,-0.0050204,-0.0026478,-0.0007080,-0.0039158,0.0046854
26,10.68,0.001000,0.0105475,0.0099659,0.2499882,0.0031624,0.0008141,0.0072666,0.0606225,0.0538702,0.0929470,0.1237451,0.4880868,0.0099225,0.0136631,-0.0016898,-0.0070991,-0.0001259
27,10.69,0.001000,0.0104710,0.0099650,0.2499805,0.0023743,0.0012384,0.0061460,0.0606095,0.0538789,0.0929567,0.1238825,0.4880488,-0.0051776,0.0072909,-0.0052368,-0.0135754,-0.0305858
28,10.70,0.001000,0.0103322,0.0099661,0.2500011,0.0011011,0.0003027,0.0029094,0.0605907,0.0538861,0.0929845,0.1236786,0.4880677,-0.0010077,0.0021000,0.0098367,-0.0134693,-0.0069647
29,10.71,0.001000,0.0103611,0.0099648,0.2499911,0.0013962,0.0003005,0.0036157,0.0605819,0.0538841,0.0930319,0.1238035,0.4880760,-0.0025869,0.0023509,-0.0007303,0.0098209,0.0162350
30,10.72,0.001000,0.0103425,0.0099652,0.2499961,0.0012256,0.0001671,0.0031143,0.0605829,0.0538815,0.0930460,0.1236203,0.4880848,0.0023289,0.0197421,0.0131634,-0.0069194,0.0086900
31,10.72,0.001000,0.0102940,0.0099649,0.2499935,0.0007512,0.0001516,0.0025338,0.0605825,0.0538871,0.0930616,0.1236437,0.4880566,0.0013032,-0.0032388,0.0093278,0.0061230,-0.0082097
32,10.70,0.001000,0.0102861,0.0099624,0.2499916,0.0007034,0.0000563,0.0028557,0.0605856,0.0538673,0.0930189,0.1237596,0.4880938,0.0209080,0.0464542,0.1052012,-0.0073433,0.0004334
33,10.70,0.001000,0.0101018,0.0095137,0.2500511,0.0030846,0.0000514,0.0291324,0.0604317,0.0537405,0.0894077,0.1231252,0.4884532,0.1880010,0.1848744,0.7171120,0.2222603,-0.0242860
34,10.70,0.001000,0.0007479,0.0002888,0.1857806,0.0018935,0.0020235,0.0638299,0.0119932,0.0111499,0.0145258,0.1065698,0.4858695,0.9807179,0.9795566,0.9894866,0.6012740,0.2097919
35,10.69,0.001000,0.0004252,0.0002104,0.0201816,0.0012584,0.0030154,0.0386416,0.0090439,0.0084300,0.0113987,0.0748748,0.4826500,0.9887276,0.9877669,0.9930344,0.8382455,0.2493581
36,10.71,0.001000,0.0002429,0.0001197,0.0050924,0.0007888,0.0015975,0.0232593,0.0070845,0.0068523,0.0089588,0.0622662,0.4810406,0.9930239,0.9916754,0.9959564,0.8751804,0.2697666
37,10.72,0.001000,0.0002718,0.0001545,0.0024859,0.0007549,0.0013318,0.0260139,0.0076340,0.0074499,0.0108252,0.0595879,0.4807302,0.9922991,0.9903725,0.9928584,0.8864542,0.2803434
38,10.73,0.001000,0.0002890,0.0001944,0.0019560,0.0006190,0.0011271,0.0195226,0.0070074,0.0067476,0.0098256,0.0550036,0.4810027,0.9933713,0.9919984,0.9944568,0.9020295,0.2876841
39,10.74,0.001000,0.0002488,0.0001538,0.0009757,0.0006274,0.0010024,0.0212929,0.0069371,0.0064609,0.0109120,0.0507383,0.4809484,0.9933593,0.9930741,0.9934367,0.9144425,0.2886918
40,10.73,0.001000,0.0001511,0.0000758,0.0010959,0.0005096,0.0008142,0.0151833,0.0058326,0.0064362,0.0083916,0.0484221,0.4812899,0.9945422,0.9928184,0.9959831,0.9197971,0.2892256
41,10.73,0.001000,0.0003485,0.0002581,0.0007963,0.0006003,0.0009823,0.0197576,0.0072588,0.0074114,0.0111180,0.0495530,0.4806176,0.9919978,0.9896972,0.9924830,0.9164628,0.2854368
42,10.71,0.001000,0.0003906,0.0002899,0.0009501,0.0006809,0.0009110,0.0225756,0.0086293,0.0086085,0.0125722,0.0506354,0.4805351,0.9879850,0.9863238,0.9891636,0.9117907,0.2835760
43,10.70,0.001000,0.0001931,0.0001306,0.0004548,0.0004214,0.0006214,0.0136171,0.0059069,0.0058775,0.0092399,0.0455051,0.4817640,0.9944860,0.9932576,0.9949416,0.9277543,0.2908626
44,10.71,0.001000,0.0001725,0.0001190,0.0011440,0.0003699,0.0005095,0.0102547,0.0051159,0.0052440,0.0083169,0.0469191,0.4823875,0.9964916,0.9953841,0.9954667,0.9239815,0.2824939
45,10.69,0.001000,0.0001118,0.0000607,0.0005441,0.0003421,0.0004924,0.0114591,0.0050662,0.0051788,0.0065817,0.0447264,0.4823876,0.9958254,0.9955387,0.9973913,0.9295803,0.2893806
46,10.70,0.001000,0.0001543,0.0000972,0.0005198,0.0003827,0.0005291,0.0130426,0.0063154,0.0058120,0.0098770,0.0474848,0.4820938,0.9931758,0.9932566,0.9933375,0.9231998,0.2834322
47,10.72,0.001000,0.0002119,0.0001343,0.0015367,0.0005472,0.0006820,0.0145598,0.0068300,0.0065576,0.0082558,0.0436137,0.4813780,0.9916960,0.9909562,0.9960603,0.9353652,0.2883776
48,10.71,0.001000,0.0001206,0.0000831,0.0008035,0.0002552,0.0003644,0.0076068,0.0054170,0.0050825,0.0082704,0.0449174,0.4828550,0.9958893,0.9951300,0.9957396,0.9320611,0.2859266
49,10.70,0.001000,0.0001394,0.0001048,0.0003678,0.0002367,0.0002937,0.0076867,0.0044967,0.0044039,0.0064867,0.0444801,0.4836034,0.9970577,0.9967455,0.9970686,0.9359213,0.2820280
50,10.69,0.001000,0.0001512,0.0001072,0.0006085,0.0003000,0.0004341,0.0090794,0.0064474,0.0064571,0.0090834,0.0448945,0.4820088,0.9933122,0.9918941,0.9946975,0.9367980,0.2822688
51,10.70,0.001000,0.0001352,0.0000826,0.0037634,0.0003411,0.0005097,0.0095905,0.0059221,0.0053618,0.0078019,0.0465957,0.4826884,0.9951612,0.9935244,0.9960746,0.9290810,0.2831224
52,10.68,0.001000,0.0006833,0.0002772,0.1425259,0.0017214,0.0031375,0.0600641,0.0108217,0.0111122,0.0135831,0.1022318,0.4875269,0.9834763,0.9799837,0.9907047,0.6702865,0.1851425
53,10.69,0.001000,0.0001469,0.0000877,0.0009140,0.0003892,0.0007621,0.0118366,0.0053773,0.0063860,0.0075635,0.0540824,0.4846834,0.9964004,0.9956999,0.9968047,0.9015909,0.2831623
54,10.70,0.001000,0.0001798,0.0001142,0.0017779,0.0004130,0.0007443,0.0151097,0.0056166,0.0057208,0.0077765,0.0473157,0.4847978,0.9951943,0.9933592,0.9963276,0.9266723,0.2931026
55,10.70,0.001000,0.0001682,0.0001176,0.0011589,0.0003281,0.0005449,0.0112141,0.0069774,0.0054982,0.0098695,0.0445537,0.4854719,0.9956121,0.9946093,0.9949121,0.9332792,0.2917724
56,10.71,0.001000,0.0000936,0.0000581,0.0006067,0.0002315,0.0003907,0.0078334,0.0040933,0.0038505,0.0048890,0.0408936,0.4856813,0.9976715,0.9976059,0.9989360,0.9470086,0.2916290
